,aptDong,aptNm,aptSeq,bonbun,bubun,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landCd,landLeaseholdGbn,rgstDate,roadNm,roadNmBonbun,roadNmBubun,roadNmCd,roadNmSeq,roadNmSggCd,roadNmbCd,sggCd,slerGbn,umdCd,umdNm,dealAmount_clean,dealDate
0,,우성,11650-440,154,2,1991,,,,"58,000",28,1,2015,,,73.15,13,154-2,1,N,,바우뫼로,00091,00000,3121009,01,11650,0,11650,,10200,양재동,58000.0,2015-01-28
1,,반포자이,11650-3500,20,43,2009,,,,"219,500",29,1,2015,,,165.052,25,20-43,1,N,,신반포로,00270,00000,3121017,02,11650,0,11650,,10700,반포동,219500.0,2015-01-29
2,,잠원아이비,11650-632,34,1,2005,,,,"48,700",28,1,2015,,,84.998,4,34-1,1,N,,강남대로95길,00081,00000,4163039,01,11650,0,11650,,10600,잠원동,48700.0,2015-01-28
3,,서초4현대,11650-30,1684,0,2000,,,,"78,500",17,1,2015,,,84.96,13,1684,1,N,,고무래로,00094,00000,3121001,02,11650,0,11650,,10800,서초동,78500.0,2015-01-17
4,,동고,11650-480,59,0,1995,,,,"55,500",17,1,2015,,,77.14,14,59,1,N,,바우뫼로7길,00029,00000,4163219,01,11650,0,11650,,10300,우면동,55500.0,2015-01-17
5,,현대슈퍼빌,11650-519,1446,11,2003,,,,"110,000",14,1,2015,,,147.86,4,1446-11,1,N,,서초중앙로,00015,00000,3121024,03,11650,0,11650,,10800,서초동,110000.0,2015-01-14
6,,유원서초,11650-62,1687,0,1993,,,,"77,000",31,1,2015,,,84.82,11,1687,1,N,,서초중앙로24길,00043,00000,4163710,01,11650,0,11650,,10800,서초동,77000.0,2015-01-31
7,,코오롱,11650-482,70,0,1994,,,,"46,500",11,1,2015,,,52.47,3,70,1,N,,바우뫼로,00053,00000,3121009,02,11650,0,11650,,10300,우면동,46500.0,2015-01-11
8,,신반포27,11650-124,56,2,1985,,,,"50,500",29,1,2015,,,53.46,3,56-2,1,N,,잠원로8길,00003,00000,4163529,01,11650,0,11650,,10600,잠원동,50500.0,2015-01-29
9,,현대동궁아파트,11650-236,64,5,1991,,,,"55,000",31,1,2015,,,70.38,1,64-5,1,N,,사평대로,00154,00000,2121001,02,11650,0,11650,,10700,반포동,55000.0,2015-01-31
10,,서초래미안,11650-523,1682,0,2003,,,,"104,000",27,1,2015,,,111.32,18,1682,1,N,,서초대로65길,00013,00010,4163425,01,11650,0,11650,,10800,서초동,104000.0,2015-01-27
11,,서초1차e-편한세상,11650-708,1487,63,2004,,,,"107,000",20,1,2015,,,130.53,8,1487-63,1,N,,명달로6길,00031,00000,4163193,01,11650,0,11650,,10800,서초동,107000.0,2015-01-20
12,,예성그린(1667-3),11650-560,1667,3,2003,,,,"56,000",31,1,2015,,,90.98,6,1667-3,1,N,,서초대로58길,00030,00000,4163421,01,11650,0,11650,,10800,서초동,56000.0,2015-01-31
13,,현대동궁아파트,11650-236,64,5,1991,,,,"60,000",21,1,2015,,,70.38,14,64-5,1,N,,사평대로,00154,00000,2121001,02,11650,0,11650,,10700,반포동,60000.0,2015-01-21
14,,롯데캐슬아르떼,11650-4044,424,28,2013,,,,"78,500",26,1,2015,,,59.9902,7,424-28,1,N,,방배천로18길,00011,00000,4163687,01,11650,0,11650,,10100,방배동,78500.0,2015-01-26
15,,삼익,11650-305,1018,1,1981,,,,"65,500",20,1,2015,,,88.26,6,1018-1,1,N,,효령로34길,00079,00000,4163634,01,11650,0,11650,,10100,방배동,65500.0,2015-01-20
