,aptDong,aptNm,aptSeq,bonbun,bubun,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landCd,landLeaseholdGbn,rgstDate,roadNm,roadNmBonbun,roadNmBubun,roadNmCd,roadNmSeq,roadNmSggCd,roadNmbCd,sggCd,slerGbn,umdCd,umdNm,dealAmount_clean,dealDate
0,,서초동대우디오빌프라임,11650-3218,1337,22,2005,,,,"46,500",24,1,2006,,,84.92,10,1337-22,1,N,,강남대로,00321,00000,2102001,04,11650,0,11650,,10800,서초동,46500.0,2006-01-24
1,,방배대우디오빌,11650-3191,866,20,2005,,,,"13,700",24,1,2006,,,29.6,10,866-20,1,N,,서초대로,00017,00000,2121002,01,11650,0,11650,,10100,방배동,13700.0,2006-01-24
2,,트라움하우스3,11650-73,1496,24,2002,,,,"370,000",24,1,2006,,,243.76,10,1496-24,1,N,,명달로,00097,00014,3121008,02,11650,0,11650,,10800,서초동,370000.0,2006-01-24
3,,방배1차현대홈타운,11650-290,1344,0,1999,,,,"30,000",23,1,2006,,,59.94,1,1344,1,N,,서초대로1길,00030,00000,4163389,01,11650,0,11650,,10100,방배동,30000.0,2006-01-23
4,,방배1차현대홈타운,11650-290,1344,0,1999,,,,"38,000",21,1,2006,,,59.94,5,1344,1,N,,서초대로1길,00030,00000,4163389,01,11650,0,11650,,10100,방배동,38000.0,2006-01-21
5,,코오롱,11650-482,70,0,1994,,,,"32,900",23,1,2006,,,52.47,5,70,1,N,,바우뫼로,00053,00000,3121009,02,11650,0,11650,,10300,우면동,32900.0,2006-01-23
6,,유원서초,11650-62,1687,0,1993,,,,"61,500",27,1,2006,,,84.82,16,1687,1,N,,서초중앙로24길,00043,00000,4163710,01,11650,0,11650,,10800,서초동,61500.0,2006-01-27
7,,아이파크빌,11650-55,1477,1,2001,,,,"107,000",27,1,2006,,,159.54,9,1477-1,1,N,,반포대로5길,00065,00000,4163245,01,11650,0,11650,,10800,서초동,107000.0,2006-01-27
8,,코오롱,11650-482,70,0,1994,,,,"32,000",21,1,2006,,,52.47,4,70,1,N,,바우뫼로,00053,00000,3121009,02,11650,0,11650,,10300,우면동,32000.0,2006-01-21
9,,에이아이디차관주택,11650-209,968,0,1974,,,,"81,700",24,1,2006,,,72.51,4,968,1,N,,신반포로,00032,00000,3121017,02,11650,0,11650,,10700,반포동,81700.0,2006-01-24
10,,신반포10,11650-108,58,16,1981,,,,"33,000",27,1,2006,,,54.11,12,58-16,1,N,,나루터로4길,00039,00000,4163049,01,11650,0,11650,,10600,잠원동,33000.0,2006-01-27
11,,서초동삼성쉐르빌2,11650-608,1330,0,2002,,,,"15,416",27,1,2006,,,35.22,11,1330,1,N,,강남대로53길,00011,00000,4163026,01,11650,0,11650,,10800,서초동,15416.0,2006-01-27
12,,정림,11650-343,434,3,2001,,,,"33,700",26,1,2006,,,104.85,2,434-3,1,N,,청두곶14길,00005,00000,4163565,01,11650,0,11650,,10100,방배동,33700.0,2006-01-26
13,,반포경남아파트,11650-159,1,8,1978,,,,"51,000",23,1,2006,,,73.5,9,1-8,1,N,,신반포로,00137,00000,3121017,02,11650,0,11650,,10700,반포동,51000.0,2006-01-23
14,,신반포16,11650-113,55,12,1983,,,,"35,000",25,1,2006,,,52.32,5,55-12,1,N,,잠원로,00157,00000,3121019,01,11650,0,11650,,10600,잠원동,35000.0,2006-01-25
15,,방배신삼호,11650-323,725,0,1983,,,,"120,000",26,1,2006,,,164.97,10,725,1,N,,방배로,00270,00000,3121010,01,11650,0,11650,,10100,방배동,120000.0,2006-01-26
16,,신반포6,11650-127,74,2,1980,,,,"77,000",23,1,2006,,,107.81,2,74-2,1,N,,신반포로,00171,00000,3121017,01,11650,0,11650,,10600,잠원동,77000.0,2006-01-23
17,,방배1차현대홈타운,11650-290,1344,0,1999,,,,"39,000",12,1,2006,,,59.94,5,1344,1,N,,서초대로1길,00030,00000,4163389,01,11650,0,11650,,10100,방배동,39000.0,2006-01-12
18,,신반포2,11650-117,73,0,1978,,,,"91,800",23,1,2006,,,107.31,12,73,1,N,,신반포로23길,00041,00000,4163452,01,11650,0,11650,,10600,잠원동,91800.0,2006-01-23
19,,반포경남아파트,11650-159,1,8,1978,,,,"72,000",26,1,2006,,,97.79,10,1-8,1,N,,신반포로,00137,00000,3121017,02,11650,0,11650,,10700,반포동,72000.0,2006-01-26
20,,성지라빌레뜨B,11650-828,845,14,2005,,,,"135,000",23,1,2006,,,216.36,4,845-14,1,N,,방배로30길,00083,00000,4163265,01,11650,0,11650,,10100,방배동,135000.0,2006-01-23
