,aptDong,aptNm,aptSeq,bonbun,bubun,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landCd,landLeaseholdGbn,rgstDate,roadNm,roadNmBonbun,roadNmBubun,roadNmCd,roadNmSeq,roadNmSggCd,roadNmbCd,sggCd,slerGbn,umdCd,umdNm,dealAmount_clean,dealDate
0,,한아름,11650-562,3,1,2003,,,,"70,000",8,1,2020,,,84.54,1,3-1,1,N,,남부순환로358길,00072,00000,4163089,01,11650,0,11650,,10200,양재동,70000.0,2020-01-08
1,,우정에쉐르,11650-702,1355,24,2004,,,,"100,000",31,1,2020,,,84.84,3,1355-24,1,N,,서운로3길,00029,00000,4163379,01,11650,0,11650,,10800,서초동,100000.0,2020-01-31
2,,반포자이,11650-3500,20,43,2009,,,,"195,000",24,1,2020,,,59.98,9,20-43,1,N,,신반포로,00270,00000,3121017,02,11650,0,11650,,10700,반포동,195000.0,2020-01-24
3,,방배브라운가,11650-569,930,1,2006,,,,"120,000",28,1,2020,,,84.94,3,930-1,1,N,,방배로19길,00067,00000,4163255,01,11650,0,11650,,10100,방배동,120000.0,2020-01-28
4,,래미안퍼스티지,11650-3559,18,1,2009,,,,"214,000",22,1,2020,,,59.89,11,18-1,1,N,,반포대로,00275,00000,2121003,02,11650,0,11650,,10700,반포동,214000.0,2020-01-22
5,,한신3차,11650-206,1,1,1978,,,,"297,000",21,1,2020,,,108.89,8,1-1,1,N,,신반포로19길,00010,00000,4163451,01,11650,0,11650,,10700,반포동,297000.0,2020-01-21
6,,방배아크로리버,11650-640,752,36,2004,,,,"173,000",11,1,2020,,,149.225,25,752-36,1,N,,방배중앙로,00207,00010,3121011,01,11650,0,11650,,10100,방배동,173000.0,2020-01-11
7,,대림,11650-479,57,0,1995,,,,"120,000",16,1,2020,,,130.89,1,57,1,N,,바우뫼로7길,00051,00000,4163219,01,11650,0,11650,,10300,우면동,120000.0,2020-01-16
8,,서초훼미리하우스,11650-4570,917,4,2017,,,,"86,000",27,1,2020,,,59.49,10,917-4,1,N,,효령로,00089,00000,3121021,01,11650,0,11650,,10100,방배동,86000.0,2020-01-27
9,,반포자이,11650-3500,20,43,2009,,,,"380,000",3,1,2020,,,194.515,14,20-43,1,N,,신반포로,00270,00000,3121017,02,11650,0,11650,,10700,반포동,380000.0,2020-01-03
