,aptDong,aptNm,aptSeq,bonbun,bubun,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landCd,landLeaseholdGbn,rgstDate,roadNm,roadNmBonbun,roadNmBubun,roadNmCd,roadNmSeq,roadNmSggCd,roadNmbCd,sggCd,slerGbn,umdCd,umdNm,dealAmount_clean,dealDate
0,,반포주공1단지,11650-175,757,0,1973,,,,"203,000",22,1,2010,,,140.33,1,757,1,N,,신반포로,00045,00000,3121017,02,11650,0,11650,,10700,반포동,203000.0,2010-01-22
1,,에이아이디차관주택,11650-209,968,0,1974,,,,"130,000",21,1,2010,,,72.51,3,968,1,N,,신반포로,00032,00000,3121017,02,11650,0,11650,,10700,반포동,130000.0,2010-01-21
2,,방배3차현대홈타운,11650-732,2233,0,2004,,,,"103,000",30,1,2010,,,122.961,8,2233,1,N,,방배중앙로21길,00055,00000,4163677,01,11650,0,11650,,10100,방배동,103000.0,2010-01-30
3,,우정에쉐르,11650-702,1355,24,2004,,,,"44,000",23,1,2010,,,82.39,5,1355-24,1,N,,서운로3길,00029,00000,4163379,01,11650,0,11650,,10800,서초동,44000.0,2010-01-23
4,,삼풍아파트,11650-28,1685,0,1988,,,,"157,000",28,1,2010,,,130.73,12,1685,1,N,,서초중앙로,00200,00000,3121024,03,11650,0,11650,,10800,서초동,157000.0,2010-01-28
5,,반포경남아파트,11650-159,1,8,1978,,,,"158,000",25,1,2010,,,154.74,6,1-8,1,N,,신반포로,00137,00000,3121017,02,11650,0,11650,,10700,반포동,158000.0,2010-01-25
6,,베로니스3차,11650-3185,807,11,2005,,,,"138,000",22,1,2010,,,173.25,4,807-11,1,N,,방배로34길,00051,00000,4163269,01,11650,0,11650,,10100,방배동,138000.0,2010-01-22
7,,현대ESA2,11650-601,1542,6,2003,,,,"86,000",15,1,2010,,,136.25,16,1542-6,1,N,,반포대로,00122,00000,2121003,03,11650,0,11650,,10800,서초동,86000.0,2010-01-15
8,,브라운스톤잠원,11650-530,67,2,2003,,,,"78,000",30,1,2010,,,84.94,14,67-2,1,N,,잠원로,00046,00038,3121019,01,11650,0,11650,,10600,잠원동,78000.0,2010-01-30
9,,롯데캐슬갤럭시(50-1),11650-682,50,1,2004,,,,"148,000",28,1,2010,,,132.16,16,50-1,1,N,,잠원로14길,00023,00000,4163526,01,11650,0,11650,,10600,잠원동,148000.0,2010-01-28
10,,방배롯데캐슬OSCAR,11650-3355,1,21,2006,,,,"190,095",11,1,2010,,,270.6,3,1-21,1,N,,동광로27길,00015,00000,4163122,01,11650,0,11650,,10100,방배동,190095.0,2010-01-11
11,,에이아이디차관주택,11650-209,968,0,1974,,,,"130,000",28,1,2010,,,72.51,5,968,1,N,,신반포로,00032,00000,3121017,02,11650,0,11650,,10700,반포동,130000.0,2010-01-28
12,,강변,11650-97,53,15,1987,,,,"59,500",19,1,2010,,,66.29,2,53-15,1,N,,잠원로,00166,00017,3121019,01,11650,0,11650,,10600,잠원동,59500.0,2010-01-19
13,,현대이에스에이아파트,11650-532,1338,0,2002,,,,"75,000",15,1,2010,,,163.95,5,1338,1,N,,효령로77길,00020,00000,4163659,01,11650,0,11650,,10800,서초동,75000.0,2010-01-15
14,,한양,11650-151,66,0,1979,,,,"96,500",18,1,2010,,,106.05,8,66,1,N,,잠원로,00062,00000,3121019,01,11650,0,11650,,10600,잠원동,96500.0,2010-01-18
15,,반포경남아파트,11650-159,1,8,1978,,,,"109,000",25,1,2010,,,98.3,4,1-8,1,N,,신반포로,00137,00000,3121017,02,11650,0,11650,,10700,반포동,109000.0,2010-01-25
16,,동아,11650-102,157,0,2002,,,,"85,500",19,1,2010,,,84.91,15,157,1,N,,신반포로33길,00015,00000,4163453,01,11650,0,11650,,10600,잠원동,85500.0,2010-01-19
17,,반포팰리스,11650-698,728,7,2004,,,,"54,500",29,1,2010,,,100.41,5,728-7,1,N,,주흥7길,00010,00032,4163558,01,11650,0,11650,,10700,반포동,54500.0,2010-01-29
18,,신반포16,11650-113,55,12,1983,,,,"75,500",18,1,2010,,,82.98,5,55-12,1,N,,잠원로,00157,00000,3121019,01,11650,0,11650,,10600,잠원동,75500.0,2010-01-18
19,,서초1차e-편한세상,11650-708,1487,63,2004,,,,"114,000",20,1,2010,,,130.53,8,1487-63,1,N,,명달로6길,00031,00000,4163193,01,11650,0,11650,,10800,서초동,114000.0,2010-01-20
20,,신반포25,11650-122,61,1,1984,,,,"90,000",26,1,2010,,,84.49,8,61-1,1,N,,잠원로,00136,00000,3121019,01,11650,0,11650,,10600,잠원동,90000.0,2010-01-26
21,,신반포13,11650-111,52,2,1981,,,,"89,000",25,1,2010,,,106.72,10,52-2,1,N,,잠원로14길,00042,00000,4163526,01,11650,0,11650,,10600,잠원동,89000.0,2010-01-25
22,,삼풍아파트,11650-28,1685,0,1988,,,,"94,800",16,1,2010,,,79.47,14,1685,1,N,,서초중앙로,00200,00000,3121024,03,11650,0,11650,,10800,서초동,94800.0,2010-01-16
23,,신반포11,11650-109,58,24,1981,,,,"74,900",9,1,2010,,,76.4,12,58-24,1,N,,나루터로4길,00061,00000,4163049,01,11650,0,11650,,10600,잠원동,74900.0,2010-01-09
24,,신반포10,11650-108,58,16,1981,,,,"54,500",13,1,2010,,,54.03,12,58-16,1,N,,나루터로4길,00039,00000,4163049,01,11650,0,11650,,10600,잠원동,54500.0,2010-01-13
25,,한양,11650-233,32,5,1982,,,,"94,000",25,1,2010,,,106.18,7,32-5,1,N,,서초중앙로,00220,00000,3121024,02,11650,0,11650,,10700,반포동,94000.0,2010-01-25
26,,반포경남아파트,11650-159,1,8,1978,,,,"108,000",14,1,2010,,,97.79,12,1-8,1,N,,신반포로,00137,00000,3121017,02,11650,0,11650,,10700,반포동,108000.0,2010-01-14
27,,동아,11650-102,157,0,2002,,,,"63,000",18,1,2010,,,59.8,11,157,1,N,,신반포로33길,00015,00000,4163453,01,11650,0,11650,,10600,잠원동,63000.0,2010-01-18
28,,현대슈퍼빌,11650-519,1446,11,2003,,,,"140,000",5,1,2010,,,153.93,22,1446-11,1,N,,서초중앙로,00015,00000,3121024,03,11650,0,11650,,10800,서초동,140000.0,2010-01-05
29,,신반포4,11650-125,70,0,1979,,,,"111,000",23,1,2010,,,107.39,5,70,1,N,,잠원로,00037,00048,3121019,01,11650,0,11650,,10600,잠원동,111000.0,2010-01-23
30,,서초래미안,11650-523,1682,0,2003,,,,"92,000",17,1,2010,,,84.95,13,1682,1,N,,서초대로65길,00013,00010,4163425,01,11650,0,11650,,10800,서초동,92000.0,2010-01-17
31,,더샵서초,11650-3284,1445,14,2006,,,,"135,000",23,1,2010,,,136.02,19,1445-14,1,N,,서초중앙로2길,00021,00000,4163718,01,11650,0,11650,,10800,서초동,135000.0,2010-01-23
32,,반포주공1단지,11650-175,757,0,1973,,,,"179,000",8,1,2010,,,106.26,2,757,1,N,,신반포로,00045,00000,3121017,02,11650,0,11650,,10700,반포동,179000.0,2010-01-08
33,,신반포9,11650-130,60,6,1981,,,,"75,500",7,1,2010,,,75.95,3,60-6,1,N,,신반포로33길,00030,00000,4163453,01,11650,0,11650,,10600,잠원동,75500.0,2010-01-07
34,,에이아이디차관주택,11650-209,968,0,1974,,,,"124,500",6,1,2010,,,72.51,1,968,1,N,,신반포로,00032,00000,3121017,02,11650,0,11650,,10700,반포동,124500.0,2010-01-06
35,,삼호1차,11650-29,1310,0,1979,,,,"72,000",26,1,2010,,,88.62,13,1310,1,N,,서운로,00211,00000,3121016,01,11650,0,11650,,10800,서초동,72000.0,2010-01-26
36,,방배신삼호,11650-323,725,0,1983,,,,"84,500",30,1,2010,,,105.04,8,725,1,N,,방배로,00270,00000,3121010,01,11650,0,11650,,10100,방배동,84500.0,2010-01-30
37,,멤버스카운티601,11650-835,801,7,2005,,,,"72,000",27,1,2010,,,107.62,2,801-7,1,N,,동광로28길,00023,00000,4163123,01,11650,0,11650,,10100,방배동,72000.0,2010-01-27
38,,방배우성,11650-331,2525,0,1991,,,,"67,000",9,1,2010,,,84.99,4,2525,1,N,,과천대로,00946,00000,2000004,00,11650,,11650,,10100,방배동,67000.0,2010-01-09
39,,방배아이파크,11650-3299,3277,0,2006,,,,"100,000",11,1,2010,,,125.58,4,3277,1,N,,동광로3길,00018,00000,4163128,01,11650,0,11650,,10100,방배동,100000.0,2010-01-11
40,,초원현대,11650-70,1444,3,1998,,,,"45,000",18,1,2010,,,59.76,7,1444-3,1,N,,효령로68길,00105,00000,4163654,01,11650,0,11650,,10800,서초동,45000.0,2010-01-18
41,,방배대우디오빌,11650-3191,866,20,2005,,,,"21,500",31,1,2010,,,28.84,15,866-20,1,N,,서초대로,00017,00000,2121002,01,11650,0,11650,,10100,방배동,21500.0,2010-01-31
